"respiratory monitoring products. in this classification, this class includes, products, components, accessories, and supplies, utilized in respiratory monitoring based medical procedures.. . "
"respiratory monitoring products. in this classification, this class includes, products, components, accessories, and supplies, utilized in respiratory monitoring based medical procedures.. apnea monitors. in this classification, this commodity indicates a product that is a customized computer monitor that displays apnea specific levels.  us fda regulates apnea monitors under 21 cfr 868.2375 and under fda product code bzq.  most nations, for tariff and trade purposes, schedule these products under hs 901811.. "
"resuscitation supplies. in this classification, this class includes, products, components, accessories, and supplies, utilized in resuscitation based medical procedures.. manual resuscitators. in this classification, this commodity indicates a product that is capable of manually resuscitating a patient in a medical setting.  us fda regulates manual resuscitators under 21 cfr 868.5915 and under fda product code btm.  most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"resuscitation supplies. in this classification, this class includes, products, components, accessories, and supplies, utilized in resuscitation based medical procedures.. pneumatic resuscitators. in this classification, this commodity indicates a product that is capable of pneumatically resuscitating a patient in a medical setting most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"resuscitation supplies. in this classification, this class includes, products, components, accessories, and supplies, utilized in resuscitation based medical procedures.. resuscitation masks. in this classification, this commodity indicates a the components of a product that is capable of manually resuscitating a patient in a medical setting most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"resuscitation supplies. in this classification, this class includes, products, components, accessories, and supplies, utilized in resuscitation based medical procedures.. resuscitator components. in this classification, this commodity indicates a the mask portion product that is capable of manually resuscitating a patient in a medical setting most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"resuscitation supplies. in this classification, this class includes, products, components, accessories, and supplies, utilized in resuscitation based medical procedures.. resuscitation connectors. in this classification, this commodity indicates a the connectors used by a product that is capable of manually resuscitating a patient in a medical setting most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"resuscitation supplies. in this classification, this class includes, products, components, accessories, and supplies, utilized in resuscitation based medical procedures.. resuscitation kits. in this classification, this commodity indicates a product that is a prepackaged collection (either custom or standard) of the equipment and supplies used to perform a resuscitation procedure in a medical setting.  most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"resuscitation supplies. in this classification, this class includes, products, components, accessories, and supplies, utilized in resuscitation based medical procedures.. cases for resuscitation apparatus. in this classification, this commodity indicates a the protective case for a product that is capable of manually resuscitating a patient in a medical setting most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"resuscitation supplies. in this classification, this class includes, products, components, accessories, and supplies, utilized in resuscitation based medical procedures.. resuscitation mask accessories. in this classification, this commodity indicates a product that is either an accessory or consumable associated with resuscitation masks.  most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"resuscitation supplies. in this classification, this class includes, products, components, accessories, and supplies, utilized in resuscitation based medical procedures.. resuscitator component accessories. in this classification, this commodity indicates a product that is either an accessory or consumable associated with resuscitator components.  most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"resuscitation supplies. in this classification, this class includes, products, components, accessories, and supplies, utilized in resuscitation based medical procedures.. cases for resuscitation apparatus accessories. in this classification, this commodity indicates a product that is either an accessory or consumable associated with cases for resuscitation apparatus.  most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"anesthesia apparatus and accessories and supplies. in this classification, this class includes, apparatus, components, accessories, and supplies, utilized in anesthesia based medical procedures.. . "
"anesthesia apparatus and accessories and supplies. in this classification, this class includes, apparatus, components, accessories, and supplies, utilized in anesthesia based medical procedures.. gas anesthesia apparatus or machines. in this classification, this commodity indicates a product used as a apparatus or machine used to dispense anesthesia during an anesthetic procedure in a medical setting most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"anesthesia apparatus and accessories and supplies. in this classification, this class includes, apparatus, components, accessories, and supplies, utilized in anesthesia based medical procedures.. absorber units for gas anesthesia apparatus or machines. in this classification, this commodity indicates a product that is a device used in the absorption of gas anesthesia in a medical setting.  us fda regulates absorber units for gas anesthesia apparatus or machines under 21 cfr 868.5310 and under fda product code bsf.  most nations, for tariff and trade purposes, schedule these products under hs 901920.. "
"anesthesia apparatus and accessories and supplies. in this classification, this class includes, apparatus, components, accessories, and supplies, utilized in anesthesia based medical procedures.. anesthesia inhalers or inhaler units. in this classification, this commodity indicates a product that is a device used as an anesthesia inhaling procedure in a medical setting.  most nations, for tariff and trade purposes, schedule these products under hs 901920.. "
"anesthesia apparatus and accessories and supplies. in this classification, this class includes, apparatus, components, accessories, and supplies, utilized in anesthesia based medical procedures.. gas anesthesia apparatus tubes or tubing assemblies or tube fittings. in this classification, this commodity indicates a product that is used as a tube or tubing used by gas anesthesia apparatus in a medical setting.  most nations, for tariff and trade purposes, schedule these products under hs 901839.. "
"anesthesia apparatus and accessories and supplies. in this classification, this class includes, apparatus, components, accessories, and supplies, utilized in anesthesia based medical procedures.. anesthesia apparatus screen filters. in this classification, this commodity indicates a product used as a screen filter for an anesthesia apparatus used in a medical setting most nations, for tariff and trade purposes, schedule these products under hs 901819.. "
"anesthesia apparatus and accessories and supplies. in this classification, this class includes, apparatus, components, accessories, and supplies, utilized in anesthesia based medical procedures.. temperature control for anesthesia apparatus. in this classification, this commodity indicates a product used as a temperature control for an anesthesia apparatus used in a medical setting most nations, for tariff and trade purposes, schedule these products under hs 901920.. "
"anesthesia apparatus and accessories and supplies. in this classification, this class includes, apparatus, components, accessories, and supplies, utilized in anesthesia based medical procedures.. anesthesia machine calibrators. in this classification, this commodity indicates a product used as a calibrator for an anesthesia machine used in a medical setting most nations, for tariff and trade purposes, schedule these products under hs 901819.. "
"anesthesia apparatus and accessories and supplies. in this classification, this class includes, apparatus, components, accessories, and supplies, utilized in anesthesia based medical procedures.. anesthesia machine upgrade kits. in this classification, this commodity indicates a product that is a prepackaged collection (either custom or standard) of the equipment and supplies used to perform anesthesia machine upgrade procedure in a medical setting.  us fda regulates anesthesia machine upgrade kits under 21 cfr 868.5160 and under fda product code bsz.  most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"anesthesia apparatus and accessories and supplies. in this classification, this class includes, apparatus, components, accessories, and supplies, utilized in anesthesia based medical procedures.. anesthesia inhalation breathing gases mixers. in this classification, this commodity indicates a product used as a breathing gas mixer for an anesthesia apparatus used in a medical setting most nations, for tariff and trade purposes, schedule these products under hs 901920.. "
"anesthesia apparatus and accessories and supplies. in this classification, this class includes, apparatus, components, accessories, and supplies, utilized in anesthesia based medical procedures.. anesthetic gas masks. in this classification, this commodity indicates a product used as a gas mask during an anesthetic procedure in a medical setting most nations, for tariff and trade purposes, schedule these products under hs 902000.. "
"anesthesia apparatus and accessories and supplies. in this classification, this class includes, apparatus, components, accessories, and supplies, utilized in anesthesia based medical procedures.. ultrasonic air embolism monitors. in this classification, this commodity indicates a product that is a customized computer monitor that displays ultrasonic air embolism specific levels.  most nations, for tariff and trade purposes, schedule these products under hs 852849.. "
"anesthesia apparatus and accessories and supplies. in this classification, this class includes, apparatus, components, accessories, and supplies, utilized in anesthesia based medical procedures.. electric peripheral nerve stimulators. in this classification, this commodity indicates a product used as a small electrical device (a wire-like electrode) next to one of the peripheral nerves located beyond the brain or spinal cord. the electrode delivers rapid electrical pulses that are felt like mild tingles (so-called paresthesias) in a medical setting most nations, for tariff and trade purposes, schedule these products under hs 901920.. "
"anesthesia apparatus and accessories and supplies. in this classification, this class includes, apparatus, components, accessories, and supplies, utilized in anesthesia based medical procedures.. algesimeters. in this classification, this commodity indicates a product used as an instrument used in determining acuteness of pain perception in a medical setting most nations, for tariff and trade purposes, schedule these products under hs 901920.. "
"anesthesia apparatus and accessories and supplies. in this classification, this class includes, apparatus, components, accessories, and supplies, utilized in anesthesia based medical procedures.. anesthesia machine upgrade kit accessories. in this classification, this commodity indicates a product that is either an accessory or consumable associated with anesthesia machine upgrade kits.  most nations, for tariff and trade purposes, schedule these products under hs 901920.. "
"anesthesia apparatus and accessories and supplies. in this classification, this class includes, apparatus, components, accessories, and supplies, utilized in anesthesia based medical procedures.. anesthesia inhaler or inhaler unit accessories. in this classification, this commodity indicates a product that is either an accessory or consumable associated with anesthesia inhaler or inhaler units.  most nations, for tariff and trade purposes, schedule these products under hs 901920.. "
"anesthesia apparatus and accessories and supplies. in this classification, this class includes, apparatus, components, accessories, and supplies, utilized in anesthesia based medical procedures.. gas anesthesia apparatus or machine accessory. in this classification, this commodity indicates a product that is either an accessory or consumable associated with gas anesthesia apparati or machines.  most nations, for tariff and trade purposes, schedule these products under hs 902000.. "
"anesthesia apparatus and accessories and supplies. in this classification, this class includes, apparatus, components, accessories, and supplies, utilized in anesthesia based medical procedures.. gas anesthesia apparatus tube or tubing assembly or tube fitting accessories. in this classification, this commodity indicates a product that is either an accessory or consumable associated with gas anesthesia apparatus tube or tubing assembly or tube fittings.  most nations, for tariff and trade purposes, schedule these products under hs 901839.. "
"anesthesia apparatus and accessories and supplies. in this classification, this class includes, apparatus, components, accessories, and supplies, utilized in anesthesia based medical procedures.. anesthesia machine calibrator accessories. in this classification, this commodity indicates a product that is either an accessory or consumable associated with anesthesia machine calibrators.  most nations, for tariff and trade purposes, schedule these products under hs 901920.. "
"anesthesia apparatus and accessories and supplies. in this classification, this class includes, apparatus, components, accessories, and supplies, utilized in anesthesia based medical procedures.. ether delivery apparatus or machines. in this classification, this commodity indicates a product used as a in a medical setting most nations, for tariff and trade purposes, schedule these products under hs 902000.. "
"anesthesia apparatus and accessories and supplies. in this classification, this class includes, apparatus, components, accessories, and supplies, utilized in anesthesia based medical procedures.. bispectral index monitor accessories. in this classification, this commodity indicates a product that are the accessories for a customized computer monitor that displays bispecteral index specific levels.  most nations, for tariff and trade purposes, schedule these products under hs 852849.. "
"anesthesia apparatus and accessories and supplies. in this classification, this class includes, apparatus, components, accessories, and supplies, utilized in anesthesia based medical procedures.. bispectral index monitors. in this classification, this commodity indicates a product used as a in a medical setting most nations, for tariff and trade purposes, schedule these products under hs 852849.. "
"anesthesia apparatus and accessories and supplies. in this classification, this class includes, apparatus, components, accessories, and supplies, utilized in anesthesia based medical procedures.. gaseous-phase anesthetic nitrous-oxide gas delivery systems. in this classification, this commodity indicates a system consisting of products, consumables and accessories that are used to execute a gaseous-phase anesthetic nitrous-oxide gas delivery procedure in a medical setting.  most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"anesthesia apparatus and accessories and supplies. in this classification, this class includes, apparatus, components, accessories, and supplies, utilized in anesthesia based medical procedures.. gaseous-phase anesthetic concentration desflurane gas analyzers. in this classification, this commodity indicates a product used as a device that analyzes anesthetic concentration desflurane gas in a medical setting.  most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"anesthesia apparatus and accessories and supplies. in this classification, this class includes, apparatus, components, accessories, and supplies, utilized in anesthesia based medical procedures.. gaseous-phase anesthetic concentration enflurane gas analyzers. in this classification, this commodity indicates a product used as a device that analyzes anesthetic concentration enflurane gas  in a medical setting.  most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"anesthesia apparatus and accessories and supplies. in this classification, this class includes, apparatus, components, accessories, and supplies, utilized in anesthesia based medical procedures.. gaseous-phase anesthetic concentration halothane gas analyzers. in this classification, this commodity indicates a product used as a device that analyzes anesthetic concentration halothane gas gas in a medical setting.  most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"anesthesia apparatus and accessories and supplies. in this classification, this class includes, apparatus, components, accessories, and supplies, utilized in anesthesia based medical procedures.. gaseous-phase anesthetic concentration isoflurane gas analyzers. in this classification, this commodity indiates a product used as a device that analyzes anesthetic concentration isoflurane gas in a medical setting.  most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"anesthesia apparatus and accessories and supplies. in this classification, this class includes, apparatus, components, accessories, and supplies, utilized in anesthesia based medical procedures.. gaseous-phase anesthetic concentration nitrous-oxide gas analyzers. in this classification, this commodity indiates a product used as a device that analyzes anesthetic concentration nitrous-oxide gas in a medical setting.  most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"anesthesia apparatus and accessories and supplies. in this classification, this class includes, apparatus, components, accessories, and supplies, utilized in anesthesia based medical procedures.. gaseous-phase anesthetic desflurane gas delivery systems. in this classification, this commodity indicates a system consisting of products, consumables and accessories that are used to execute a gaseous-phase anesthetic desflurane gas delivery procedure in a medical setting.  most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"anesthesia apparatus and accessories and supplies. in this classification, this class includes, apparatus, components, accessories, and supplies, utilized in anesthesia based medical procedures.. gaseous-phase anesthetic enflurane gas delivery systems. in this classification, this commodity indicates a system consisting of products, consumables and accessories that are used to execute a gaseous-phase anesthetic enflurane gas delivery procedure in a medical setting.  most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"anesthesia apparatus and accessories and supplies. in this classification, this class includes, apparatus, components, accessories, and supplies, utilized in anesthesia based medical procedures.. gaseous-phase anesthetic halothane gas delivery systems. in this classification, this commodity indicates a system consisting of products, consumables and accessories that are used to execute a gaseous-phase anesthetic halothane gas delivery procedure in a medical setting.  most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"anesthesia apparatus and accessories and supplies. in this classification, this class includes, apparatus, components, accessories, and supplies, utilized in anesthesia based medical procedures.. gaseous-phase anesthetic isoflurane gas delivery systems. in this classification, this commodity indicates a system consisting of products, consumables and accessories that are used to execute a gaseous-phase anesthetic isoflurane gas delivery procedure in a medical setting.  most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"anesthesia apparatus and accessories and supplies. in this classification, this class includes, apparatus, components, accessories, and supplies, utilized in anesthesia based medical procedures.. gaseous-phase anesthetic concentration sevofluane gas analyzers. in this classification, this commodity indiates a product used as a device that analyzes anesthetic concentration sevofluane gas in a medical setting.  most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"anesthesia apparatus and accessories and supplies. in this classification, this class includes, apparatus, components, accessories, and supplies, utilized in anesthesia based medical procedures.. ether delivery apparatus or machine accessories. in this classification, this commodity indicates a product that is either an accessory or consumable associated with ether delivery apparatus or machines.  most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"anesthesia apparatus and accessories and supplies. in this classification, this class includes, apparatus, components, accessories, and supplies, utilized in anesthesia based medical procedures.. gaseous-phase anesthetic sevoflurane gas delivery systems. in this classification, this commodity indicates a system consisting of products, consumables and accessories that are used to execute a gaseous-phase anesthetic sevoflurane gas delivery procedure in a medical setting.  most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
